排名,书名,作者,出版社,年份,评论数,原价,折后价,折扣率,链接,图书分类
41,Python极客项目编程,Mahesh,人民邮电出版社,2017,0,94.48,7.24,0.0766,https://product.dangdang.com/12351153606.html,Python图书
42,Python程序设计入门到实战,何敏煌,清华大学出版社,2017,0,90.0,5.0,0.0556,https://product.dangdang.com/12457598677.html,Python图书
43,Python数据可视化编程实战,Igor,人民邮电出版社,2015,0,94.3,7.15,0.0758,https://product.dangdang.com/11960009863.html,Python图书
44,Python自然语言处理实战:核心技术与算法,涂铭,机械工业出版社,2018,0,21.15,7.05,0.3333,https://product.dangdang.com/12395748336.html,Python图书
45,Python自动化运维快速入门,郑征,清华大学出版社,2019,0,21.24,7.08,0.3333,https://product.dangdang.com/12395748326.html,Python图书
46,Python算法教程,赫特兰,人民邮电出版社,2016,1,90.0,5.0,0.0556,https://product.dangdang.com/12419713227.html,Python图书
47,Python 网络编程攻略,,人民邮电出版社,2014,0,90.0,5.0,0.0556,https://product.dangdang.com/11988621110.html,Python图书
48,Python自动化运维:技术与实践,刘天斯,机械工业出版社,2014,0,123.0,6.99,0.0568,https://product.dangdang.com/11708211305.html,Python图书
49,Python开发技术详解,周伟,机械工业出版社,2009,1,63.0,8.0,0.127,https://product.dangdang.com/11187284862.html,Python图书
50,Python趣味编程入门,迈克·桑德斯,人民邮电出版社,2018,0,23.73,7.91,0.3333,https://product.dangdang.com/12395747406.html,Python图书
51,Python数据挖掘与机器学习实战,方巍,机械工业出版社,2019,0,23.73,7.91,0.3333,https://product.dangdang.com/12395747916.html,Python图书
52,PYTHON核心编程第二版,Wesley,人民邮电出版社,2008,1,40.0,8.0,0.2,https://product.dangdang.com/11354968962.html,Python图书
53,Python编程从入门到精通,叶维忠,人民邮电出版社,2018,0,23.19,7.73,0.3333,https://product.dangdang.com/12395745616.html,Python图书
54,Python编程基础,张健,人民邮电出版社,2018,0,23.73,7.91,0.3333,https://product.dangdang.com/12395745806.html,Python图书
55,Python 3 程序设计,刘德山,人民邮电出版社,2022,0,95.96,7.98,0.0832,https://product.dangdang.com/12355124954.html,Python图书
56,Python在机器学习中的应用,余本国,中国水利水电出版社,2019,0,23.67,7.89,0.3333,https://product.dangdang.com/12395748266.html,Python图书
57,Python机器学习 预测分析核心算法,Michael,人民邮电出版社,2016,6,113.0,8.0,0.0708,https://product.dangdang.com/11093100165.html,Python图书
58,Python 3 数据分析与机器学习实战 著 9787301295663,龙马高新教育,北京大学出版社,2018,0,92.5,6.25,0.0676,https://product.dangdang.com/12386740656.html,Python图书
59,PYTHON自然语言处理,雅兰·萨纳卡,机械工业出版社,2018,0,92.76,6.38,0.0688,https://product.dangdang.com/12347038970.html,Python图书
60,Python数据分析与机器学习(微课视频版),杨年华,清华大学出版社,2023,507,110.0,104.5,0.95,https://product.dangdang.com/29489349.html,Python图书
61,Python+Spark 2 0+Hadoop机器学习与大数据实战,林大贵,清华大学出版社,2017,0,92.76,6.38,0.0688,https://product.dangdang.com/11989652600.html,Python图书
62,Python Web开发 测试驱动方法,珀西瓦尔,人民邮电出版社,2015,1,117.0,6.18,0.0528,https://product.dangdang.com/11740026120.html,Python图书
63,Python学习手册,鲁特兹,机械工业出版社,2011,11,90.0,8.65,0.0961,https://product.dangdang.com/648176483.html,Python图书
64,Python绝技-运用Python成为顶级黑客(美)O'其他,Connor,电子工业出版社,2019,0,79.0,52.9,0.6696,https://product.dangdang.com/12454699767.html,Python图书
65,Python编程基础,闫俊伢,人民邮电出版社,2016,0,94.6,7.3,0.0772,https://product.dangdang.com/12303216995.html,Python图书
66,Python程序设计案例教程,单显明,北京理工大学出版社,2020,0,94.22,7.11,0.0755,https://product.dangdang.com/12457576977.html,Python图书
67,Python程序设计实验指导与习题,不详,航空工业出版社,2010,0,94.5,7.25,0.0767,https://product.dangdang.com/12346084660.html,Python图书
68,Python 新手学Django 2.0架站的16堂课,何敏煌,清华大学出版社,2019,0,94.2,7.1,0.0754,https://product.dangdang.com/12454873927.html,Python图书
69,"Python程序设计案例教程 ,贾琼,陈琦 编 9787568292788",单显明,北京理工大学出版社,2020,0,94.22,7.11,0.0755,https://product.dangdang.com/12387869236.html,Python图书
70,Python编程入门,Toby,人民邮电出版社,2013,0,98.28,9.14,0.093,https://product.dangdang.com/11991315272.html,Python图书
71,Python高性能第2版,,人民邮电出版社,2018,0,94.0,7.0,0.0745,https://product.dangdang.com/12387244425.html,Python图书
72,Python深度学习实战:基于TensorFlow和Keras的聊天机器人以及人脸、物体和语音识别,纳温·库马尔·马纳西,机械工业出版社,2019,0,94.42,7.21,0.0764,https://product.dangdang.com/12454996247.html,Python图书
73,Python即学即用 算法与数据结构,张燕妮,机械工业出版社,2016,0,50.0,11.6,0.232,https://product.dangdang.com/1849343685.html,Python图书
74,Python程序设计基础实践教程,赵广辉,高等教育出版社,2021,0,94.76,7.38,0.0779,https://product.dangdang.com/11979219480.html,Python图书
75,Python全栈开发——数据分析,夏正东,清华大学出版社,2023,170,79.0,75.1,0.9506,https://product.dangdang.com/29543946.html,Python图书
76,Python数据科学导论 概念、技术与应用,劳拉·伊瓜尔,机械工业出版社,2018,0,95.26,7.63,0.0801,https://product.dangdang.com/12347735460.html,Python图书
77,Python编程 (美) Sneeringer 著 宋?V剑 刘磊 售后无忧,Luke,清华大学出版社,2016,0,64.18,7.41,0.1155,https://product.dangdang.com/11740073610.html,Python图书
78,Python测试之道,,人民邮电出版社,2018,0,95.26,7.63,0.0801,https://product.dangdang.com/12454732097.html,Python图书
79,Python Web开发实战,董伟明,电子工业出版社,2016,0,100.0,10.0,0.1,https://product.dangdang.com/12350238486.html,Python图书
80,Python数据分析从入门到精通 、李静,张啸宇,电子工业出版社,2018,0,203.78,8.0,0.0393,https://product.dangdang.com/11740191840.html,Python图书
81,Python与机器学习实战:决策树、集成学习、支持向量机与神经网络算法详解及编程实现,何宇健,电子工业出版社,2017,0,100.36,10.18,0.1014,https://product.dangdang.com/12351151876.html,Python图书
82,Python机器学习实践指南,Alexander,人民邮电出版社,2017,1,100.0,10.0,0.1,https://product.dangdang.com/11959741693.html,Python图书
83,Python基础教程,Magnus,人民邮电出版社,2014,0,100.0,10.0,0.1,https://product.dangdang.com/11989760942.html,Python图书
84,Python数据分析从入门到实践,明日科技,吉林大学出版社,2020,0,100.4,10.2,0.1016,https://product.dangdang.com/11958297253.html,Python图书
85,"PYTHON程序设计实战教程:零基础到精通 王其,温芝龙,王海晖,何静,李维勇 978756841073",,江苏大学出版社,2019,0,96.28,8.14,0.0845,https://product.dangdang.com/12387390786.html,Python图书
86,Python金融实战,Yuxing,人民邮电出版社,2017,0,29.7,9.9,0.3333,https://product.dangdang.com/12457890591.html,Python图书
87,Python数据可视化编程实战 第2版,伊戈尔·米洛瓦诺维奇,人民邮电出版社,2018,0,100.0,10.0,0.1,https://product.dangdang.com/11994374842.html,Python图书
88,Python Linux系统管理与自动化运维,赖明星,机械工业出版社,2017,0,100.4,10.2,0.1016,https://product.dangdang.com/11959978723.html,Python图书
89,Python数据分析与数据化运营,宋天龙,机械工业出版社,2017,0,100.0,10.0,0.1,https://product.dangdang.com/11992825212.html,Python图书
90,Python 3.5从零开始学,刘宇宙,清华大学出版社,2017,1,92.02,9.9,0.1076,https://product.dangdang.com/11993374212.html,Python图书
91,Python 网络编程攻略 Dr. M. O. Sarker 达额立减,Faruque,人民邮电出版社,2014,1,55.74,8.0,0.1435,https://product.dangdang.com/11740026040.html,Python图书
92,Python自动化运维:技术与佳实践,刘天斯,机械工业出版社,2014,0,100.4,10.2,0.1016,https://product.dangdang.com/12332163304.html,Python图书
