书名,详情链接,作者,出版年份,出版社,评论数,原价(元),折后价(元),折扣率
 Python程序设计入门到实战,https://product.dangdang.com/12457598677.html,何敏煌,2017,清华大学出版社,0,90.0,5.0,0.06
 Python数据可视化编程实战【正版】,https://product.dangdang.com/11960009863.html,Igor,2015,人民邮电出版社,0,94.3,7.15,0.08
 Python自然语言处理实战：核心技术与算法,https://product.dangdang.com/12395748336.html,涂铭,2018,机械工业出版社,0,21.15,7.05,0.33
 Python自动化运维快速入门,https://product.dangdang.com/12395748326.html,郑征,2019,清华大学出版社,0,21.24,7.08,0.33
 Python机器学习算法,https://product.dangdang.com/12457979041.html,赵志勇,2017,电子工业出版社,0,21.6,7.2,0.33
 Python算法教程,https://product.dangdang.com/12419713227.html,赫特兰,2016,人民邮电出版社,1,90.0,5.0,0.06
 Python 网络编程攻略,https://product.dangdang.com/11988621110.html,,2014,人民邮电出版社,0,90.0,5.0,0.06
 Python自动化运维:技术与实践,https://product.dangdang.com/11708211305.html,刘天斯,2014,机械工业出版社,0,123.0,6.99,0.06
 Python开发技术详解,https://product.dangdang.com/11187284862.html,周伟,2009,机械工业出版社,1,63.0,8.0,0.13
 Python趣味编程入门,https://product.dangdang.com/12395747406.html,迈克·桑德斯,2018,人民邮电出版社,0,23.73,7.91,0.33
 Python数据挖掘与机器学习实战,https://product.dangdang.com/12395747916.html,方巍,2019,机械工业出版社,0,23.73,7.91,0.33
 PYTHON核心编程第二版,https://product.dangdang.com/11354968962.html,Wesley,2008,人民邮电出版社,1,40.0,8.0,0.2
 Python编程从入门到精通,https://product.dangdang.com/12395745616.html,叶维忠,2018,人民邮电出版社,0,23.19,7.73,0.33
 Python编程基础,https://product.dangdang.com/12395745806.html,张健,2018,人民邮电出版社,0,23.73,7.91,0.33
 Python 3 程序设计,https://product.dangdang.com/12355124954.html,刘德山,2022,人民邮电出版社,0,95.96,7.98,0.08
 Python在机器学习中的应用,https://product.dangdang.com/12395748266.html,余本国,2019,中国水利水电出版社,0,23.67,7.89,0.33
 Python机器学习 预测分析核心算法,https://product.dangdang.com/11093100165.html,Michael,2016,人民邮电出版社,6,113.0,8.0,0.07
 Python 3 数据分析与机器学习实战 龙马高新教育 著 北京大学出版社 9787301295663,https://product.dangdang.com/12386740656.html,龙马高新教育,2018,北京大学出版社,0,92.5,6.25,0.07
 PYTHON自然语言处理,https://product.dangdang.com/12347038970.html,雅兰·萨纳卡,2018,机械工业出版社,0,92.76,6.38,0.07
 Python数据分析与机器学习（微课视频版）,https://product.dangdang.com/29489349.html,杨年华,2023,清华大学出版社,507,110.0,104.5,0.95
 Python+Spark 2 0+Hadoop机器学习与大数据实战,https://product.dangdang.com/11989652600.html,林大贵,2017,清华大学出版社,0,92.76,6.38,0.07
 Python Web开发 测试驱动方法 珀西瓦尔 人民邮电出版社 珀西瓦尔 人民邮电出版社【可开电子发票】,https://product.dangdang.com/11740026120.html,珀西瓦尔,2015,人民邮电出版社,1,117.0,6.18,0.05
 Python学习手册,https://product.dangdang.com/648176483.html,鲁特兹,2011,机械工业出版社,11,90.0,8.65,0.1
 Python绝技-运用Python成为顶级黑客(美)O'Connor其他电子工业出版社新华书店正版,https://product.dangdang.com/12454699767.html,Connor,2019,电子工业出版社,0,79.0,52.9,0.67
 Python编程基础【正版】,https://product.dangdang.com/12303216995.html,闫俊伢,2016,人民邮电出版社,0,94.6,7.3,0.08
 Python程序设计案例教程,https://product.dangdang.com/12457576977.html,单显明,2020,北京理工大学出版社,0,94.22,7.11,0.08
 Python程序设计实验指导与习题,https://product.dangdang.com/12346084660.html,不详,2010,航空工业出版社,0,94.5,7.25,0.08
 Python 新手学Django 2.0架站的16堂课,https://product.dangdang.com/12454873927.html,何敏煌,2019,清华大学出版社,0,94.2,7.1,0.08
" Python程序设计案例教程 单显明,贾琼,陈琦 编 北京理工大学出版社 9787568292788",https://product.dangdang.com/12387869236.html,单显明,2020,北京理工大学出版社,0,94.22,7.11,0.08
 Python编程入门,https://product.dangdang.com/11991315272.html,Toby,2013,人民邮电出版社,0,98.28,9.14,0.09
 Python高性能第2版,https://product.dangdang.com/12387244425.html,,2018,人民邮电出版社,0,94.0,7.0,0.07
 Python深度学习实战:基于TensorFlow和Keras的聊天机器人以及人脸、物体和语音识别,https://product.dangdang.com/12454996247.html,纳温·库马尔·马纳西,2019,机械工业出版社,0,94.42,7.21,0.08
 Python即学即用 算法与数据结构 机械工业出版社,https://product.dangdang.com/1849343685.html,张燕妮,2016,机械工业出版社,0,50.0,11.6,0.23
 Python程序设计基础实践教程【正版图书】,https://product.dangdang.com/11979219480.html,赵广辉,2021,高等教育出版社,0,94.76,7.38,0.08
 Python全栈开发——数据分析,https://product.dangdang.com/29543946.html,夏正东,2023,清华大学出版社,170,79.0,75.1,0.95
 Python数据科学导论 概念、技术与应用,https://product.dangdang.com/12347735460.html,劳拉·伊瓜尔,2018,机械工业出版社,0,95.26,7.63,0.08
 Python程序设计基础实践教程,https://product.dangdang.com/11990837210.html,赵广辉,2021,高等教育出版社,0,94.76,7.38,0.08
 Python编程 (美) Luke Sneeringer 著 宋?V剑 刘磊 清华大学出版社【售后无忧】,https://product.dangdang.com/11740073610.html,Luke,2016,清华大学出版社,0,64.18,7.41,0.12
 Python测试之道,https://product.dangdang.com/12454732097.html,,2018,人民邮电出版社,0,95.26,7.63,0.08
 Python程序设计基础实践教程【正版图书，满额减，电子发票】,https://product.dangdang.com/11944386086.html,赵广辉,2021,高等教育出版社,0,94.76,7.38,0.08
 Python Web开发实战,https://product.dangdang.com/12350238486.html,董伟明,2016,电子工业出版社,0,100.0,10.0,0.1
 Python数据分析从入门到精通 张啸宇、李静 电子工业出版社【可开电子发票】,https://product.dangdang.com/11740191840.html,张啸宇,2018,电子工业出版社,0,203.78,8.0,0.04
 Python与机器学习实战:决策树、集成学习、支持向量机与神经网络算法详解及编程实现,https://product.dangdang.com/12351151876.html,何宇健,2017,电子工业出版社,0,100.36,10.18,0.1
 Python机器学习实践指南【正版】,https://product.dangdang.com/11959741693.html,Alexander,2017,人民邮电出版社,1,100.0,10.0,0.1
 Python基础教程,https://product.dangdang.com/11989760942.html,Magnus,2014,人民邮电出版社,0,100.0,10.0,0.1
 Python数据分析从入门到实践【正版】,https://product.dangdang.com/11958297253.html,明日科技,2020,吉林大学出版社,0,100.4,10.2,0.1
 Python基础教程【正版】,https://product.dangdang.com/12303491455.html,Magnus,2014,人民邮电出版社,0,95.92,7.96,0.08
" PYTHON程序设计实战教程：零基础到精通 王其,温芝龙,王海晖,何静,李维勇 江苏大学出版社 978756841073",https://product.dangdang.com/12387390786.html,,2019,江苏大学出版社,0,96.28,8.14,0.08
